,survived,pclass,age,sibsp,parch,adult_male,alone,log_fare,new_fare,gender,female_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embarked_C,embarked_Q,embarked_S,embarked_U,who_child,who_man,who_woman,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 45]","age_groups_(45, 70]","age_groups_(70, 100]",age_groups
0,0,3,22.0,1,0,1,0,2.1102132003465894,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
1,1,1,38.0,1,0,0,0,4.2805931204649,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(25, 45]"
2,1,3,26.0,0,0,0,1,2.188856327665703,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
3,1,1,35.0,1,0,0,0,3.9908341858524357,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,"(25, 45]"
4,0,3,35.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
5,0,3,32.973597359735976,0,0,1,1,2.246892662898172,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
6,0,1,54.0,0,0,1,1,3.967694202798607,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"(45, 70]"
7,0,3,2.0,3,1,0,0,3.0944457464900235,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
8,1,3,27.0,0,2,0,0,2.495953738718064,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
9,1,2,14.0,1,0,0,0,3.436268471383741,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"(0, 15]"
10,1,3,4.0,1,1,0,0,2.8735646395797834,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
11,1,1,58.0,0,0,0,1,3.3160025355989236,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,"(45, 70]"
12,0,3,20.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
13,0,3,39.0,1,5,1,0,3.4742929367327062,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
14,0,3,14.0,0,0,0,1,2.180891922715322,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
15,1,2,55.0,0,0,0,1,2.833213344056216,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,"(45, 70]"
16,0,3,2.0,4,1,0,0,3.405355391810819,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
17,1,2,32.973597359735976,0,0,1,1,2.6390573296152584,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
18,0,3,31.0,1,0,0,0,2.9444389791664403,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
19,1,3,31.08421052631579,0,0,0,1,2.1071782966514356,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
20,0,2,35.0,0,0,1,1,3.295836866004329,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
21,1,2,34.0,0,0,1,1,2.6390573296152584,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
22,1,3,15.0,0,0,0,1,2.2004637699272855,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
23,1,1,28.0,0,0,1,1,3.597312260588446,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
24,0,3,8.0,3,1,0,0,3.0944457464900235,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
25,1,3,38.0,1,5,0,0,3.4777725458882283,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
26,0,3,32.973597359735976,0,0,1,1,2.1071782966514356,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
27,0,1,19.0,3,2,1,0,5.575949103146316,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,"(15, 25]"
28,1,3,31.08421052631579,0,0,0,1,2.1837114628556327,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
29,0,3,32.973597359735976,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
30,0,1,40.0,0,0,1,1,3.357621598945279,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
31,1,1,33.355555555555554,1,0,0,0,4.993969182787072,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(25, 45]"
32,1,3,31.08421052631579,0,0,0,1,2.169053700369523,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
33,0,2,66.0,0,0,1,1,2.4423470353692043,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,"(45, 70]"
34,0,1,28.0,1,0,1,0,4.420896324687287,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
35,0,1,42.0,1,0,1,0,3.970291913552122,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
36,1,3,32.973597359735976,0,0,1,1,2.1076888046179385,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
37,0,3,21.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
38,0,3,18.0,2,0,0,0,2.9444389791664403,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
39,1,3,14.0,1,0,0,0,2.5048481563289,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
40,0,3,40.0,1,0,0,0,2.348991465808201,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
41,0,2,27.0,1,0,0,0,3.091042453358316,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
42,0,3,32.973597359735976,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
43,1,2,3.0,1,2,0,0,3.7513658711253766,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,"(0, 15]"
