,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,log_fare,gender,female_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embarked_C,embarked_Q,embarked_S,embarked_U,who_child,who_man,who_woman,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 45]","age_groups_(45, 70]","age_groups_(70, 100]"
0,0,3,male,22.0,1,0,7.25,S,Third,man,1,Unknown,Southampton,no,0,"(15, 25]",2.1102132003465894,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,0,C,Cherbourg,yes,0,"(25, 45]",4.2805931204649,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,1,3,female,26.0,0,0,7.925,S,Third,woman,0,Unknown,Southampton,yes,1,"(25, 45]",2.188856327665703,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3,1,1,female,35.0,1,0,53.1,S,First,woman,0,C,Southampton,yes,0,"(25, 45]",3.9908341858524357,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
4,0,3,male,35.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
5,0,3,male,32.973597359735976,0,0,8.4583,Q,Third,man,1,Unknown,Queenstown,no,1,"(25, 45]",2.246892662898172,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
6,0,1,male,54.0,0,0,51.8625,S,First,man,1,E,Southampton,no,1,"(45, 70]",3.967694202798607,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
7,0,3,male,2.0,3,1,21.075,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.0944457464900235,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,0,Unknown,Southampton,yes,0,"(25, 45]",2.495953738718064,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
9,1,2,female,14.0,1,0,30.0708,C,Second,child,0,Unknown,Cherbourg,yes,0,"(0, 15]",3.436268471383741,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
10,1,3,female,4.0,1,1,16.7,S,Third,child,0,G,Southampton,yes,0,"(0, 15]",2.8735646395797834,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
11,1,1,female,58.0,0,0,26.55,S,First,woman,0,C,Southampton,yes,1,"(45, 70]",3.3160025355989236,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
12,0,3,male,20.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
13,0,3,male,39.0,1,5,31.275,S,Third,man,1,Unknown,Southampton,no,0,"(25, 45]",3.4742929367327062,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,0,Unknown,Southampton,no,1,"(0, 15]",2.180891922715322,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
15,1,2,female,55.0,0,0,16.0,S,Second,woman,0,Unknown,Southampton,yes,1,"(45, 70]",2.833213344056216,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,0,Unknown,Queenstown,no,0,"(0, 15]",3.405355391810819,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
17,1,2,male,32.973597359735976,0,0,13.0,S,Second,man,1,Unknown,Southampton,yes,1,"(25, 45]",2.6390573296152584,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
18,0,3,female,31.0,1,0,18.0,S,Third,woman,0,Unknown,Southampton,no,0,"(25, 45]",2.9444389791664403,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
19,1,3,female,31.08421052631579,0,0,7.225,C,Third,woman,0,Unknown,Cherbourg,yes,1,"(25, 45]",2.1071782966514356,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
20,0,2,male,35.0,0,0,26.0,S,Second,man,1,Unknown,Southampton,no,1,"(25, 45]",3.295836866004329,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
21,1,2,male,34.0,0,0,13.0,S,Second,man,1,D,Southampton,yes,1,"(25, 45]",2.6390573296152584,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,0,Unknown,Queenstown,yes,1,"(0, 15]",2.2004637699272855,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
23,1,1,male,28.0,0,0,35.5,S,First,man,1,A,Southampton,yes,1,"(25, 45]",3.597312260588446,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
24,0,3,female,8.0,3,1,21.075,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.0944457464900235,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,0,Unknown,Southampton,yes,0,"(25, 45]",3.4777725458882283,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
26,0,3,male,32.973597359735976,0,0,7.225,C,Third,man,1,Unknown,Cherbourg,no,1,"(25, 45]",2.1071782966514356,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
27,0,1,male,19.0,3,2,263.0,S,First,man,1,C,Southampton,no,0,"(15, 25]",5.575949103146316,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
28,1,3,female,31.08421052631579,0,0,7.8792,Q,Third,woman,0,Unknown,Queenstown,yes,1,"(25, 45]",2.1837114628556327,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
29,0,3,male,32.973597359735976,0,0,7.8958,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
30,0,1,male,40.0,0,0,27.7208,C,First,man,1,Unknown,Cherbourg,no,1,"(25, 45]",3.357621598945279,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
31,1,1,female,33.355555555555554,1,0,146.5208,C,First,woman,0,B,Cherbourg,yes,0,"(25, 45]",4.993969182787072,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
32,1,3,female,31.08421052631579,0,0,7.75,Q,Third,woman,0,Unknown,Queenstown,yes,1,"(25, 45]",2.169053700369523,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
