,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,female_from_2nd_class
0,0,3,1,22.0,1,0,7.25,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0
1,1,1,0,38.0,1,0,71.2833,C,First,1,0,C,Cherbourg,yes,0,"(35, 45]",1
2,1,3,0,26.0,0,0,7.925,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0
3,1,1,0,35.0,1,0,53.1,S,First,1,0,C,Southampton,yes,0,"(25, 35]",1
4,0,3,1,35.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0
5,0,3,1,32.973597359735976,0,0,8.4583,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0
6,0,1,1,54.0,0,0,51.8625,S,First,0,1,E,Southampton,no,1,"(45, 60]",0
7,0,3,1,2.0,3,1,21.075,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0
8,1,3,0,27.0,0,2,11.1333,S,Third,1,0,Unknown,Southampton,yes,0,"(25, 35]",0
9,1,2,0,14.0,1,0,30.0708,C,Second,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",1
10,1,3,0,4.0,1,1,16.7,S,Third,3,0,G,Southampton,yes,0,"(0, 15]",0
11,1,1,0,58.0,0,0,26.55,S,First,1,0,C,Southampton,yes,1,"(45, 60]",1
12,0,3,1,20.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0
13,0,3,1,39.0,1,5,31.275,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0
14,0,3,0,14.0,0,0,7.8542,S,Third,3,0,Unknown,Southampton,no,1,"(0, 15]",0
15,1,2,0,55.0,0,0,16.0,S,Second,1,0,Unknown,Southampton,yes,1,"(45, 60]",1
16,0,3,1,2.0,4,1,29.125,Q,Third,3,0,Unknown,Queenstown,no,0,"(0, 15]",0
17,1,2,1,32.973597359735976,0,0,13.0,S,Second,0,1,Unknown,Southampton,yes,1,"(25, 35]",0
18,0,3,0,31.0,1,0,18.0,S,Third,1,0,Unknown,Southampton,no,0,"(25, 35]",0
19,1,3,0,31.08421052631579,0,0,7.225,C,Third,1,0,Unknown,Cherbourg,yes,1,"(25, 35]",0
20,0,2,1,35.0,0,0,26.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0
