,Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,female_from_2nd_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 35]","age_groups_(35, 45]","age_groups_(45, 60]","age_groups_(60, 80]"
0,0,0,3,1,22.0,1,0,7.25,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1,1,1,1,0,38.0,1,0,71.2833,C,First,1,0,C,Cherbourg,yes,0,"(35, 45]",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,2,1,3,0,26.0,0,0,7.925,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
3,3,1,1,0,35.0,1,0,53.1,S,First,1,0,C,Southampton,yes,0,"(25, 35]",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
4,4,0,3,1,35.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
5,5,0,3,1,32.973597359735976,0,0,8.4583,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
6,6,0,1,1,54.0,0,0,51.8625,S,First,0,1,E,Southampton,no,1,"(45, 60]",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
7,7,0,3,1,2.0,3,1,21.075,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
8,8,1,3,0,27.0,0,2,11.1333,S,Third,1,0,Unknown,Southampton,yes,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
9,9,1,2,0,14.0,1,0,30.0708,C,Second,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
10,10,1,3,0,4.0,1,1,16.7,S,Third,3,0,G,Southampton,yes,0,"(0, 15]",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
11,11,1,1,0,58.0,0,0,26.55,S,First,1,0,C,Southampton,yes,1,"(45, 60]",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
12,12,0,3,1,20.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
13,13,0,3,1,39.0,1,5,31.275,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
14,14,0,3,0,14.0,0,0,7.8542,S,Third,3,0,Unknown,Southampton,no,1,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
15,15,1,2,0,55.0,0,0,16.0,S,Second,1,0,Unknown,Southampton,yes,1,"(45, 60]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
16,16,0,3,1,2.0,4,1,29.125,Q,Third,3,0,Unknown,Queenstown,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
17,17,1,2,1,32.973597359735976,0,0,13.0,S,Second,0,1,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
18,18,0,3,0,31.0,1,0,18.0,S,Third,1,0,Unknown,Southampton,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
19,19,1,3,0,31.08421052631579,0,0,7.225,C,Third,1,0,Unknown,Cherbourg,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
20,20,0,2,1,35.0,0,0,26.0,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
21,21,1,2,1,34.0,0,0,13.0,S,Second,0,1,D,Southampton,yes,1,"(25, 35]",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
22,22,1,3,0,15.0,0,0,8.0292,Q,Third,3,0,Unknown,Queenstown,yes,1,"(0, 15]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
23,23,1,1,1,28.0,0,0,35.5,S,First,0,1,A,Southampton,yes,1,"(25, 35]",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
